ApplicantName,Callsign,FileNumber,Filing State,Red Light,AppType,Accepted For Filing PN,Class Of Earth Station,SiteID,AntennaID,Quantity,SiteStreet1,SiteStreet2,SiteCity,SiteCounty,Site State,Site Zip Code,LatDeg,LatMin,LatSec,LonDeg,LonMin,LonSec,latitude,longitude,marker-symbol,
"1TV.Com, Inc.",E180784,SESREG2018060801389,current,,REG,,FES,1,KIKO      ,1,4501 Broadway,(KIKO),Miami,Gila,AZ,85539,33,24,37.67,110,50,19.01,33.4104638888889,-110.838613888889,communications-tower-11,
2820 Communications INC,E180110,SESMOD2018082303556,current,,MOD,,FES,1,1,1,108 Boeykens Pl, ,Normal,Mclean,IL,61761,40,30,41.53,88,57,13.31,40.5115361111111,-88.9536972222222,communications-tower-11,
2820 Communications INC,E180110,SESMOD2018082303556,current,,MOD,,FES,2,ANT2      ,1,108 Boeykens Pl,,Normal,Mclean,IL,61761,40,30,41.6,88,57,14.6,40.5115555555556,-88.9540555555556,communications-tower-11,
"2B Productions, LLC",E200272,SESREG2018101205569,current,,REG,,FES,Main Studio,12M       ,1,1525 Jake Alexander Blvd. W,"Salisbury, NC",Salisbury,Rowan,NC,28147,35,40,46,80,30,24,35.6794444444444,-80.5066666666667,communications-tower-11,
"2G Media, Inc.",E201815,SESREG2018102907222,current,,REG,,FES,WZGC Sat Dish,WZGC Sat D,1,1100 Tar Heel Road,,Charlotte,Mecklenburg,NC,28216,35,16,2.72,80,54,10.19,35.2674222222222,-80.9028305555556,communications-tower-11,
3003 MOFFITT LLC,E120003,SESLIC2011122701502,current,,LIC,,FES,1,1,1,3003 Moffett Lane,,Missouri City,Fort Bend,TX,77489,29,35,3,95,30,8.7,29.5841666666667,-95.5024166666667,communications-tower-11,
3003 MOFFITT LLC,E120003,SESLIC2011122701502,current,,LIC,,FES,1,2,1,3003 Moffett Lane,,Missouri City,Fort Bend,TX,77489,29,35,3,95,30,8.7,29.5841666666667,-95.5024166666667,communications-tower-11,
5-Star Communications Inc.,E191324,SESREG2018100804952,current,,REG,,FES,KVTK,Ant1      ,1,210 W. 3rd St.,,Yankton,Yankton,SD,57078,42,52,12.07,97,23,39.93,42.8700194444444,-97.394425,communications-tower-11,
"6 Johnson Road Licenses, Inc.",E191530,SESREG2018101005149,current,,REG,,FES,Latham NY,1,1,6 Johnson Rd,,Latham,Albany,NY,,42,45,42.24,73,44,57.3,42.7617333333333,-73.74925,communications-tower-11,
"6 Johnson Road Licenses, Inc.",E191532,SESREG2018101005151,current,,REG,,FES,Fishkill NY,1,1,715 Rt 52,,Beacon,Dutchess,NY,,41,31,25.87,73,55,50.66,41.5238527777778,-73.9307388888889,communications-tower-11,
"6 Johnson Road Licenses, Inc.",E191547,SESREG2018101005166,current,,REG,,FES,Glens Falls,1,1,89 Everts Ave,,Queensbury,Warren,NY,,43,19,46.08,73,38,51.38,43.3294666666667,-73.6476055555556,communications-tower-11,
